,count, source
0,15388,الکافي
1,6003,من لا یحضره الفقیه
2,13964,تهذيب الأحكام
3,5520,الإستبصار
4,24563,الوافي
5,70018,بحار الأنوار
6,35320,وسائل الشیعة
7,24964,مستدرك الوسائل
8,99,كتاب سُليم
9,56,الصحیفة السجادیة
10,108,مصباح الشريعة
11,139,توحید المفضل
12,155,وقعة الطف
13,570,فقه الرضا
14,237,صحیفة الرضا
15,1,طب الرضا
16,297,وقعة صفین
17,864,مسائل عليّ بن جعفر
18,1386,قرب الإسناد
19,428,التفسير العسکری
20,2608,المحاسن
21,30,بلاغات النساء
22,243,الغارات
23,1865,بصائر الدرجات
24,645,الأصول الستة عشر (ط - دار الشبستری)
